performing reachability, flags: -n 8 -N 8 -shared-heap 16GB --tablesize=27 --cachesize=26  
This is upcrun, job spawner for the Berkeley UPC compiler (http://upc.lbl.gov).
upcrun version 2.22.2
Network conduits supported by this installation: smp mxm ibv
[1467995158.643150] [node008:4359 :0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1797.38
[1467995158.651182] [node008:4359 :0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995159.000178] [node009:23845:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1817.34
[1467995159.009278] [node009:23845:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995159.006046] [node010:25763:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1860.75
[1467995159.012096] [node010:25763:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995158.998889] [node013:19314:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 2217.09
[1467995159.007359] [node013:19314:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995159.002894] [node015:4168 :0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1499.91
[1467995159.011911] [node015:4168 :0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995159.008812] [node014:10940:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 2399.34
[1467995159.014985] [node014:10940:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995158.998246] [node012:31897:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1504.03
[1467995159.006965] [node012:31897:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[1467995159.004757] [node011:10419:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1797.00
[1467995159.013569] [node011:10419:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
UPCR: UPC thread 0 of 8 on node008 (pshm node 0 of 8, process 0 of 8, pid=4367)
UPCR: UPC thread 7 of 8 on node015 (pshm node 7 of 8, process 7 of 8, pid=4210)
UPCR: UPC thread 2 of 8 on node010 (pshm node 2 of 8, process 2 of 8, pid=25805)
UPCR: UPC thread 1 of 8 on node009 (pshm node 1 of 8, process 1 of 8, pid=23887)
UPCR: UPC thread 6 of 8 on node014 (pshm node 6 of 8, process 6 of 8, pid=10982)
UPCR: UPC thread 5 of 8 on node013 (pshm node 5 of 8, process 5 of 8, pid=19356)
UPCR: UPC thread 3 of 8 on node011 (pshm node 3 of 8, process 3 of 8, pid=10461)
UPCR: UPC thread 4 of 8 on node012 (pshm node 4 of 8, process 4 of 8, pid=31939)
using a cache granularity of 8
using linear probing in the BDD table
using a memoization table of 2^26 = 67108864 entries (~2560 MB) per thread
using a BDD table of 2^27 = 134217728 entries (~3072 MB) per thread
Initializing /home/oortwijn/distdd/models/beem/firewire_link.1.bdd!
vector size: 34
bits per integer: 16
number of BDD variables: 544
Loading initial states: 
Initial states loaded... 
Loading transition relations... 
34 integers per state, 16 bits per integer, 146 transition groups
BDD nodes:
Initial states: 544 BDD nodes
Transition 0: 96 BDD nodes
Transition 1: 0 BDD nodes
Transition 2: 0 BDD nodes
Transition 3: 0 BDD nodes
Transition 4: 0 BDD nodes
Transition 5: 0 BDD nodes
Transition 6: 0 BDD nodes
Transition 7: 144 BDD nodes
Transition 8: 0 BDD nodes
Transition 9: 128 BDD nodes
Transition 10: 128 BDD nodes
Transition 11: 0 BDD nodes
Transition 12: 112 BDD nodes
Transition 13: 48 BDD nodes
Transition 14: 0 BDD nodes
Transition 15: 0 BDD nodes
Transition 16: 0 BDD nodes
Transition 17: 0 BDD nodes
Transition 18: 0 BDD nodes
Transition 19: 0 BDD nodes
Transition 20: 0 BDD nodes
Transition 21: 0 BDD nodes
Transition 22: 0 BDD nodes
Transition 23: 0 BDD nodes
Transition 24: 223 BDD nodes
Transition 25: 0 BDD nodes
Transition 26: 0 BDD nodes
Transition 27: 0 BDD nodes
Transition 28: 0 BDD nodes
Transition 29: 0 BDD nodes
Transition 30: 0 BDD nodes
Transition 31: 128 BDD nodes
Transition 32: 0 BDD nodes
Transition 33: 0 BDD nodes
Transition 34: 0 BDD nodes
Transition 35: 208 BDD nodes
Transition 36: 440 BDD nodes
Transition 37: 0 BDD nodes
Transition 38: 167 BDD nodes
Transition 39: 135 BDD nodes
Transition 40: 0 BDD nodes
Transition 41: 0 BDD nodes
Transition 42: 0 BDD nodes
Transition 43: 0 BDD nodes
Transition 44: 0 BDD nodes
Transition 45: 0 BDD nodes
Transition 46: 0 BDD nodes
Transition 47: 0 BDD nodes
Transition 48: 112 BDD nodes
Transition 49: 0 BDD nodes
Transition 50: 0 BDD nodes
Transition 51: 0 BDD nodes
Transition 52: 0 BDD nodes
Transition 53: 0 BDD nodes
Transition 54: 176 BDD nodes
Transition 55: 229 BDD nodes
Transition 56: 0 BDD nodes
Transition 57: 0 BDD nodes
Transition 58: 0 BDD nodes
Transition 59: 0 BDD nodes
Transition 60: 116 BDD nodes
Transition 61: 0 BDD nodes
Transition 62: 0 BDD nodes
Transition 63: 0 BDD nodes
Transition 64: 0 BDD nodes
Transition 65: 80 BDD nodes
Transition 66: 222 BDD nodes
Transition 67: 0 BDD nodes
Transition 68: 0 BDD nodes
Transition 69: 80 BDD nodes
Transition 70: 0 BDD nodes
Transition 71: 144 BDD nodes
Transition 72: 0 BDD nodes
Transition 73: 370 BDD nodes
Transition 74: 0 BDD nodes
Transition 75: 0 BDD nodes
Transition 76: 0 BDD nodes
Transition 77: 272 BDD nodes
Transition 78: 0 BDD nodes
Transition 79: 160 BDD nodes
Transition 80: 197 BDD nodes
Transition 81: 176 BDD nodes
Transition 82: 906 BDD nodes
Transition 83: 271 BDD nodes
Transition 84: 0 BDD nodes
Transition 85: 220 BDD nodes
Transition 86: 224 BDD nodes
Transition 87: 0 BDD nodes
Transition 88: 273 BDD nodes
Transition 89: 0 BDD nodes
Transition 90: 0 BDD nodes
Transition 91: 0 BDD nodes
Transition 92: 0 BDD nodes
Transition 93: 0 BDD nodes
Transition 94: 224 BDD nodes
Transition 95: 160 BDD nodes
Transition 96: 0 BDD nodes
Transition 97: 0 BDD nodes
Transition 98: 144 BDD nodes
Transition 99: 117 BDD nodes
Transition 100: 274 BDD nodes
Transition 101: 144 BDD nodes
Transition 102: 146 BDD nodes
Transition 103: 128 BDD nodes
Transition 104: 176 BDD nodes
Transition 105: 0 BDD nodes
