Model, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
2-100phaseVariation, 38.4770536666667, 109.982910333333, 71.2791643333333, 51.6367753333333, 38.6103713333333, 81.8154716, 11.4847424, 6.5131872
2-10phaseVariation, 0.098943, 0.139576333333333, 0.105978666666667, 0.100874333333333, 0.116984666666667, 0.1847714, 0.0353344, 0.0302162
2D8gradient10x10100, -, -, -, -, -, -, -, -
2D8gradient10x1010, 23.4893616666667, 49.9753066666667, 29.642473, 21.719756, 16.449052, 16.9523018, 2.5418328, 1.5132854
2D8gradient10x10150, -, -, -, -, -, -, -, -
2D8gradient10x10200, -, -, -, -, -, -, -, -
2D8gradient10x1050, -, -, -, -, -, -, -, -
2D8gradient20x2010, -, -, -, 1803.70178033333, 1054.1574155, -, 1838.8721632, 1115.2356466
2D8gradient20x2050, -, -, -, -, -, -, -, -
2D8gradient30x3010, -, -, -, -, -, -, -, -
2D8gradient5x5100, 271.196809666667, 683.169165333333, 389.890390666667, 329.0119635, 316.813039666667, 1269.073009, 209.325436, 134.1637836
2D8gradient5x510, 0.845137666666667, 1.297695, 0.862823, 0.712998, 0.689366333333333, 0.5121858, 0.0902908, 0.05594
2D8gradient5x5150, -, 3440.83876666667, 1503.5340185, -, 1083.669495, -, -, -
2D8gradient5x5200, -, -, -, -, -, -, -, -
2D8gradient5x550, 32.2234403333333, 84.6596886666667, 53.5165083333333, 48.8593846666667, 47.0064006666667, 34.952028, 5.6001674, 3.390771
5-10phaseVariation, 16.6638023333333, 51.9617666666667, 48.407318, 47.283982, 50.2338856666667, 20.997137, 3.4182954, 2.176488
angiogenesis-01, 0.106056, 0.179472666666667, 0.235976333333333, 0.256812333333333, 0.283429, 0.1918932, 0.0525168, 0.0441084
angiogenesis-05, 15.252296, 28.4891956666667, 15.010523, 10.344311, 7.51292733333333, 21.425483, 3.3099782, 1.8933408
angiogenesis-10, -, 1331.0414495, 540.493559666667, 320.485123666667, 207.173806666667, -, -, -
angiogenesis-15, -, -, -, -, -, -, -, -
ARMCacheCoherence, 173.902289, 400.303389666667, 170.786175666667, 103.952809666667, 71.0285836666667, 1613.0622518, 202.2564218, 107.3313864
BridgeAndVehicles-V04-P05-N02-unfolded, 0.359662, 0.570119, 0.583836666666667, 0.618978333333333, 0.664834666666667, 0.214524, 0.0454678, 0.0336704
BridgeAndVehicles-V10-P10-N10-unfolded, 10.3553803333333, 17.9983623333333, 10.4622693333333, 8.010634, 6.66258, 23.4203784, 3.2293448, 1.788458
BridgeAndVehicles-V20-P10-N10-unfolded, 203.464293, 369.322765666667, 162.291112, 104.216459, 76.7249853333333, 859.1436178, 122.388279, 66.4269766
BridgeAndVehicles-V20-P10-N20-unfolded, 301.824904, 534.005032333333, 223.072484666667, 141.281085666667, 103.215447666667, 1568.5577452, 217.3708356, 118.472031
BridgeAndVehicles-V20-P20-N10-unfolded, 204.698831, 369.629483666667, 161.673071333333, 103.975349666667, 76.4436316666667, 854.6365214, 122.7584408, 66.500992
BridgeAndVehicles-V20-P20-N20-unfolded, 372.289723666667, 649.712039333333, 266.994659, 168.888862, 122.250358, 2032.3905912, 285.385382, 155.279282
circadianclock-000001, 0.0213076666666667, 0.0371123333333333, 0.0493643333333333, 0.0555876666666667, 0.0626166666666667, 0.5075018, 0.138821, 0.110228
circadianclock-000010, 0.354416, 0.546355, 0.527809, 0.553650333333333, 0.624526, 0.5176344, 0.123813, 0.1088078
circadianclock-000100, 15.8361683333333, 33.63122, 20.4502293333333, 16.204882, 15.5670886666667, 34.2159634, 10.3149684, 8.1009244
CircularTrain-012, 0.0603026666666667, 0.102954, 0.139426, 0.14981, 0.166234666666667, 0.3724062, 0.0981348, 0.082133
CircularTrain-024, 1.66140866666667, 2.47400466666667, 1.98669266666667, 1.87340466666667, 1.95562866666667, 1.0553348, 0.1713494, 0.1139912
CircularTrain-048, 19.2232143333333, 47.1816613333333, 32.742343, 28.676439, 29.5149896666667, 45.5317716, 7.5258236, 4.8239244
closedsystem1, 5.49242066666667, 11.1685993333333, 13.560031, 14.9109026666667, 17.5344486666667, 5.1214898, 0.794185, 0.5043424
closedsystem2, 17.0245873333333, 44.3405946666667, 42.4895803333333, 43.173195, 48.5982166666667, 32.0758738, 4.5734822, 2.8237316
closedsystem3, 27.5960473333333, 76.9467603333333, 62.1281796666667, 58.8074423333333, 62.552111, 67.5740984, 9.6240714, 5.7946118
closedsystem4, 29.548986, 81.7197953333333, 61.288861, 55.536801, 58.1633236666667, 76.8186428, 11.4003964, 6.7787592
closedsystem5, 23.7533, 62.8224696666667, 48.279794, 44.4289143333333, 46.9997823333333, 59.0777858, 8.3187828, 4.9157618
csrepetitions-2-unfolded, 0.278228333333333, 0.382648666666667, 0.331434666666667, 0.325802333333333, 0.357367333333333, 0.3927598, 0.0799244, 0.0662086
csrepetitions-3-unfolded, 6.52656466666667, 11.334546, 6.507226, 4.88846866666667, 3.903092, 6.5781306, 0.991278, 0.5815092
csrepetitions-4-unfolded, -, 944.645682, 437.695993666667, 295.900542333333, 207.463431333333, 2403.4249214, 417.7511548, 273.3075576
database2UNFOLD, 0.07611, 0.130496, 0.167750333333333, 0.182494333333333, 0.201366, 0.2574958, 0.0522708, 0.0428236
database4UNFOLD, 84.4039373333333, 199.326776, 100.062491666667, 63.6921676666667, 42.8941656666667, 2375.4178788, 366.1898004, 227.391761
dekker-10, 0.320120666666667, 0.438666666666667, 0.30511, 0.283408, 0.286263, 0.1395488, 0.0226832, 0.0155014
dekker-15, 1.86695733333333, 2.576353, 1.386703, 1.07073266666667, 0.91121, 1.2105166, 0.1829086, 0.1083888
dekker-20, 9.11469666666667, 16.7201246666667, 8.83675, 6.178966, 4.48304166666667, 12.8102754, 1.945097, 1.0836002
distributeur-01-unfolded-02, 0.0842593333333333, 0.135311, 0.163882333333333, 0.176891666666667, 0.196447666666667, 0.1564062, 0.0348868, 0.0281258
eratosthenes-010, 0.00425233333333333, 0.007418, 0.00974166666666667, 0.0117543333333333, 0.0151853333333333, 0.2182994, 0.079307, 0.0803892
eratosthenes-020, 0.0274276666666667, 0.044281, 0.0572123333333333, 0.0633223333333333, 0.071232, 0.4182966, 0.0865106, 0.0729604
eratosthenes-050, 0.988421666666667, 1.64819866666667, 1.390388, 1.29310666666667, 1.26411133333333, 0.2321602, 0.0540852, 0.0423082
eratosthenes-100, 3.555615, 6.128022, 4.513987, 4.08211766666667, 4.37273366666667, 1.4960576, 0.320546, 0.2687608
eratosthenes-200, 31.2181523333333, 97.6351323333333, 87.3009903333333, 80.8211453333333, 85.577094, 15.9654032, 3.3965742, 2.777058
eratosthenes-500, -, 1022.20821966667, 801.877165333333, 776.588243666667, 858.203415, -, -, -
erk-000001, 0.00668766666666667, 0.0115673333333333, 0.0162193333333333, 0.0184586666666667, 0.0208566666666667, 0.2906818, 0.095852, 0.0946476
erk-000010, 0.578026666666667, 0.794388333333333, 0.577585666666667, 0.521222333333333, 0.574348, 0.6485754, 0.1446942, 0.1154656
erk-000100, -, -, -, -, 2837.102471, -, -, -
FMS-100, -, -, 2808.894006, 1970.859258, 1264.5142595, -, -, -
FMS-10, 2.16110233333333, 3.16794966666667, 2.17767233333333, 1.81709466666667, 1.828086, 1.3960224, 0.311426, 0.2321508
FMS-200, -, -, -, -, -, -, -, -
FMS-20, 14.5119333333333, 25.020934, 13.105607, 9.32295866666667, 7.68610933333333, 15.5589334, 2.8526796, 1.7166908
FMS-2, 0.108177333333333, 0.175400333333333, 0.225633666666667, 0.247481333333333, 0.272555, 0.3982656, 0.1178596, 0.1260102
FMS-50, 322.460212666667, 637.844390666667, 259.101541333333, 166.315273, 105.003123666667, 583.0237978, 108.3543104, 62.0700272
FMS-5, 0.492378666666667, 0.740684333333333, 0.685577, 0.713219666666667, 0.777939333333333, 0.5273974, 0.147943, 0.1218296
gallocres-3, 2.48795233333333, 3.377563, 1.53708433333333, 0.998861, 0.674760333333333, 3.9647762, 0.5450522, 0.2918266
gallocres-5, 1506.702136, 2476.15651733333, 798.336858333333, 452.349531333333, 281.79922, -, 752.21947, 415.2134692
HouseConstruction-002, 0.149498, 0.258272666666667, 0.321090666666667, 0.349854666666667, 0.386826, 0.362308, 0.0905018, 0.0837582
