[    1.80] Read file '/home/oortwijn/distdd/models/petrinets/ARMCacheCoherence.bdd'
[    1.80] 87 integers per state, 4 bits per integer, 33676 transition groups
[    2.30] Level 1 done
[    2.84] Level 2 done
[    4.02] Level 3 done
[    6.03] Level 4 done
[    9.64] Level 5 done
[   16.08] Level 6 done
[   25.16] Level 7 done
[   37.24] Level 8 done
[   52.60] Level 9 done
[   71.44] Level 10 done
[   93.40] Level 11 done
[  118.79] Level 12 done
[  148.03] Level 13 done
[  182.21] Level 14 done
[  223.83] Level 15 done
[  274.09] Level 16 done
[  334.13] Level 17 done
[  403.81] Level 18 done
[  482.14] Level 19 done
[  567.67] Level 20 done
[  658.42] Level 21 done
[  752.51] Level 22 done
[  848.06] Level 23 done
[  943.85] Level 24 done
[ 1038.58] Level 25 done
[ 1131.51] Level 26 done
[ 1220.85] Level 27 done
[ 1305.22] Level 28 done
[ 1382.30] Level 29 done
[ 1448.63] Level 30 done
[ 1499.00] Level 31 done
[ 1531.84] Level 32 done
[ 1553.49] Level 33 done
[ 1569.00] Level 34 done
[ 1580.92] Level 35 done
[ 1590.17] Level 36 done
[ 1596.95] Level 37 done
[ 1602.28] Level 38 done
[ 1605.94] Level 39 done
[ 1608.09] Level 40 done
[ 1609.65] Level 41 done
[ 1610.31] Level 42 done
[ 1610.87] Level 43 done
[ 1611.05] Level 44 done
[ 1611.22] Level 45 done
[ 1611.22] BFS Time: 1609.423727
[ 1611.22] Final states: 320,567,601 states
