[    1.00] Read file '/home/oortwijn/distdd/models/petrinets/BridgeAndVehicles-V20-P10-N20-unfolded.bdd'
[    1.00] 78 integers per state, 5 bits per integer, 968 transition groups
[    1.02] Level 1 done
[    1.06] Level 2 done
[    1.11] Level 3 done
[    1.19] Level 4 done
[    1.30] Level 5 done
[    1.45] Level 6 done
[    1.63] Level 7 done
[    1.87] Level 8 done
[    2.18] Level 9 done
[    2.55] Level 10 done
[    3.00] Level 11 done
[    3.53] Level 12 done
[    4.18] Level 13 done
[    4.94] Level 14 done
[    5.82] Level 15 done
[    6.82] Level 16 done
[    8.00] Level 17 done
[    9.34] Level 18 done
[   10.87] Level 19 done
[   12.60] Level 20 done
[   14.57] Level 21 done
[   16.77] Level 22 done
[   19.23] Level 23 done
[   21.96] Level 24 done
[   24.98] Level 25 done
[   28.30] Level 26 done
[   31.94] Level 27 done
[   35.93] Level 28 done
[   40.18] Level 29 done
[   44.16] Level 30 done
[   48.23] Level 31 done
[   52.58] Level 32 done
[   57.25] Level 33 done
[   62.23] Level 34 done
[   67.52] Level 35 done
[   73.17] Level 36 done
[   79.16] Level 37 done
[   85.50] Level 38 done
[   92.19] Level 39 done
[   99.25] Level 40 done
[  106.68] Level 41 done
[  114.46] Level 42 done
[  122.60] Level 43 done
[  131.14] Level 44 done
[  140.05] Level 45 done
[  149.30] Level 46 done
[  158.97] Level 47 done
[  168.98] Level 48 done
[  179.35] Level 49 done
[  190.08] Level 50 done
[  201.18] Level 51 done
[  212.64] Level 52 done
[  224.43] Level 53 done
[  236.63] Level 54 done
[  249.17] Level 55 done
[  262.09] Level 56 done
[  275.38] Level 57 done
[  289.05] Level 58 done
[  303.09] Level 59 done
[  317.49] Level 60 done
[  332.24] Level 61 done
[  347.37] Level 62 done
[  362.87] Level 63 done
[  378.75] Level 64 done
[  394.98] Level 65 done
[  411.66] Level 66 done
[  428.64] Level 67 done
[  446.02] Level 68 done
[  463.74] Level 69 done
[  481.84] Level 70 done
[  500.31] Level 71 done
[  519.10] Level 72 done
[  538.16] Level 73 done
[  557.57] Level 74 done
[  577.29] Level 75 done
[  597.28] Level 76 done
[  617.47] Level 77 done
[  637.97] Level 78 done
[  658.63] Level 79 done
[  679.50] Level 80 done
[  700.57] Level 81 done
[  721.77] Level 82 done
[  743.16] Level 83 done
[  764.65] Level 84 done
[  786.19] Level 85 done
[  807.96] Level 86 done
[  829.73] Level 87 done
[  830.59] (GC) Starting garbage collection...
[  831.13] (GC) Garbage collection done.
[  882.77] Level 88 done
[  903.75] Level 89 done
[  923.30] Level 90 done
[  944.80] Level 91 done
[  966.12] Level 92 done
[  986.77] Level 93 done
[ 1007.19] Level 94 done
[ 1027.41] Level 95 done
[ 1047.51] Level 96 done
[ 1067.61] Level 97 done
[ 1087.62] Level 98 done
[ 1107.39] Level 99 done
[ 1126.86] Level 100 done
[ 1146.05] Level 101 done
[ 1164.99] Level 102 done
[ 1183.49] Level 103 done
[ 1201.62] Level 104 done
[ 1219.38] Level 105 done
[ 1236.73] Level 106 done
[ 1253.56] Level 107 done
[ 1269.94] Level 108 done
[ 1285.81] Level 109 done
[ 1301.18] Level 110 done
[ 1316.01] Level 111 done
[ 1330.27] Level 112 done
[ 1344.00] Level 113 done
[ 1357.20] Level 114 done
[ 1369.77] Level 115 done
[ 1381.81] Level 116 done
[ 1393.34] Level 117 done
[ 1404.33] Level 118 done
[ 1414.78] Level 119 done
[ 1424.73] Level 120 done
[ 1434.21] Level 121 done
[ 1443.21] Level 122 done
[ 1451.74] Level 123 done
[ 1459.85] Level 124 done
[ 1467.62] Level 125 done
[ 1474.90] Level 126 done
[ 1481.76] Level 127 done
[ 1488.26] Level 128 done
[ 1494.36] Level 129 done
[ 1500.17] Level 130 done
[ 1505.64] Level 131 done
[ 1510.82] Level 132 done
[ 1515.69] Level 133 done
[ 1520.30] Level 134 done
[ 1524.60] Level 135 done
[ 1528.68] Level 136 done
[ 1532.51] Level 137 done
[ 1536.09] Level 138 done
[ 1539.43] Level 139 done
[ 1542.57] Level 140 done
[ 1545.49] Level 141 done
[ 1548.21] Level 142 done
[ 1550.72] Level 143 done
[ 1553.07] Level 144 done
[ 1555.24] Level 145 done
[ 1557.22] Level 146 done
[ 1559.02] Level 147 done
[ 1560.68] Level 148 done
[ 1562.19] Level 149 done
[ 1563.54] Level 150 done
[ 1564.73] Level 151 done
[ 1565.80] Level 152 done
[ 1566.75] Level 153 done
[ 1567.57] Level 154 done
[ 1568.26] Level 155 done
[ 1568.86] Level 156 done
[ 1569.36] Level 157 done
[ 1569.77] Level 158 done
[ 1570.11] Level 159 done
[ 1570.37] Level 160 done
[ 1570.56] Level 161 done
[ 1570.74] Level 162 done
[ 1570.84] Level 163 done
[ 1570.91] Level 164 done
[ 1570.97] Level 165 done
[ 1571.00] Level 166 done
[ 1571.02] Level 167 done
[ 1571.05] Level 168 done
[ 1571.07] Level 169 done
[ 1571.07] Level 170 done
[ 1571.07] BFS Time: 1570.067171
[ 1571.12] Final states: 9,076,326 states
